Team,Rim.Rank,Rim.Freq,Short.Mid.Rank,Short.Mid.Freq,Long.Mid.Rank,Long.Mid.Freq,Corner.Three.Rank,Corner.Three.Freq,Non.Corner.Rank,Non.Corner.Freq,Rim.Color,Rim.Opacity,Short.Mid.Color,Short.Mid.Opacity,Long.Mid.Color,Long.Mid.Opacity,Corner.Three.Color,Corner.Three.Opacity,Non.Corner.Color,Non.Corner.Opacity,Year,Location
Golden State,30,27.8%,2,23.7%,4,14.8%,27,6.6%,17,27.0%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.7,Gray,0.3,2019,home
Houston,17,36.2%,29,13.5%,30,4.8%,1,12.5%,1,33.0%,Gray,0.3,Blue,0.7,Blue,0.7,Red,0.7,Red,0.7,2019,home
Indiana,9,37.5%,20,16.8%,3,16.2%,23,7.0%,29,22.5%,Red,0.3,Gray,0.3,Red,0.7,Blue,0.3,Blue,0.7,2019,home
LA Clippers,16,36.3%,16,18.5%,13,10.9%,8,9.4%,23,24.9%,Gray,0.3,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.3,2019,home
LA Lakers,5,40.6%,25,15.1%,11,11.9%,12,8.6%,26,23.8%,Red,0.7,Blue,0.3,Gray,0.3,Gray,0.3,Blue,0.7,2019,home
Memphis,14,36.4%,1,24.4%,21,7.8%,25,6.8%,24,24.5%,Gray,0.3,Red,0.7,Blue,0.3,Blue,0.3,Blue,0.3,2019,home
Miami,21,34.3%,18,17.6%,15,10.1%,4,10.6%,13,27.4%,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.7,Gray,0.3,2019,home
Milwaukee,15,36.4%,24,15.4%,20,8.4%,13,8.6%,4,31.3%,Gray,0.3,Blue,0.3,Gray,0.3,Gray,0.3,Red,0.7,2019,home
Minnesota,6,40.3%,26,14.9%,29,5.2%,17,7.8%,3,31.8%,Red,0.3,Blue,0.7,Blue,0.7,Gray,0.3,Red,0.7,2019,home
New Orleans,4,40.8%,30,13.4%,18,8.5%,6,9.9%,12,27.4%,Red,0.7,Blue,0.7,Gray,0.3,Red,0.3,Gray,0.3,2019,home
New York,2,41.8%,22,16.1%,5,13.7%,28,6.1%,30,22.3%,Red,0.7,Blue,0.3,Red,0.7,Blue,0.7,Blue,0.7,2019,home
Oklahoma City,26,32.6%,6,21.3%,6,13.5%,18,7.3%,22,25.2%,Blue,0.7,Red,0.3,Red,0.3,Gray,0.3,Blue,0.3,2019,home
Orlando,25,32.8%,14,19.1%,9,13.0%,29,5.4%,5,29.7%,Blue,0.3,Gray,0.3,Red,0.3,Blue,0.7,Red,0.7,2019,home
Philadelphia,19,35.4%,11,19.6%,10,12.9%,26,6.7%,21,25.4%,Gray,0.3,Gray,0.3,Red,0.3,Blue,0.7,Blue,0.3,2019,home
Phoenix,11,36.9%,17,17.8%,14,10.4%,14,8.5%,20,26.5%,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,Gray,0.3,2019,home
Portland,20,34.9%,23,15.9%,7,13.4%,19,7.3%,8,28.6%,Gray,0.3,Blue,0.3,Red,0.3,Gray,0.3,Red,0.3,2019,home
Sacramento,24,33.1%,4,21.8%,17,9.3%,11,8.7%,16,27.0%,Blue,0.3,Red,0.7,Gray,0.3,Gray,0.3,Gray,0.3,2019,home
San Antonio,29,29.2%,5,21.3%,1,19.4%,24,6.9%,27,23.2%,Blue,0.7,Red,0.7,Red,0.7,Blue,0.3,Blue,0.7,2019,home
Toronto,8,39.1%,27,14.9%,23,7.5%,7,9.7%,6,28.8%,Red,0.3,Blue,0.7,Blue,0.3,Red,0.3,Red,0.3,2019,home
Utah,23,33.6%,3,22.1%,27,6.0%,2,11.4%,18,26.9%,Blue,0.3,Red,0.7,Blue,0.7,Red,0.7,Gray,0.3,2019,home
Washington,27,32.6%,15,19.0%,2,16.4%,30,4.9%,15,27.0%,Blue,0.7,Gray,0.3,Red,0.7,Blue,0.7,Gray,0.3,2019,home
Atlanta,15,34.3%,16,19.2%,22,7.7%,11,8.7%,7,30.1%,Gray,0.3,Gray,0.3,Blue,0.3,Gray,0.3,Red,0.3,2019,away
Boston,7,36.0%,18,18.5%,18,9.6%,23,7.2%,11,28.7%,Red,0.3,Gray,0.3,Gray,0.3,Blue,0.3,Gray,0.3,2019,away
Brooklyn,3,38.3%,28,15.1%,27,6.1%,7,9.0%,4,31.5%,Red,0.7,Blue,0.7,Blue,0.7,Red,0.3,Red,0.7,2019,away
